#Person location Sublocation StartTime EndTime Type
304296 99304296 1001 86380 86390 1
304912 99304912 1001 86380 86390 1
305077 99305077 1001 86380 86390 1
305113 99305113 1001 86380 86390 1
500156 99500156 1001 86380 86390 1
500032 99500032 1001 86380 86390 1
500713 99500713 1001 86380 86390 1
500362 99500362 1001 86380 86390 1
500298 99500298 1001 86380 86390 1
500306 99500306 1001 86380 86390 1
501444 99501444 1001 86380 86390 1
501401 99501401 1001 86380 86390 1
501287 99501287 1001 86380 86390 1
501365 99501365 1001 86380 86390 1
501302 99501302 1001 86380 86390 1
501788 99501788 1001 86380 86390 1
502288 99502288 1001 86380 86390 1
502334 99502334 1001 86380 86390 1
501862 99501862 1001 86380 86390 1
501854 99501854 1001 86380 86390 1
502467 99502467 1001 86380 86390 1
502913 99502913 1001 86380 86390 1
502814 99502814 1001 86380 86390 1
503297 99503297 1001 86380 86390 1
504043 99504043 1001 86380 86390 1
503980 99503980 1001 86380 86390 1
503687 99503687 1001 86380 86390 1
504298 99504298 1001 86380 86390 1
504208 99504208 1001 86380 86390 1
504146 99504146 1001 86380 86390 1
504214 99504214 1001 86380 86390 1
504939 99504939 1001 86380 86390 1
504726 99504726 1001 86380 86390 1
504586 99504586 1001 86380 86390 1
504407 99504407 1001 86380 86390 1
504399 99504399 1001 86380 86390 1
505604 99505604 1001 86380 86390 1
505653 99505653 1001 86380 86390 1
505502 99505502 1001 86380 86390 1
505415 99505415 1001 86380 86390 1
505199 99505199 1001 86380 86390 1
505836 99505836 1001 86380 86390 1
506497 99506497 1001 86380 86390 1
506185 99506185 1001 86380 86390 1
506357 99506357 1001 86380 86390 1
506192 99506192 1001 86380 86390 1
506361 99506361 1001 86380 86390 1
506272 99506272 1001 86380 86390 1
506095 99506095 1001 86380 86390 1
506690 99506690 1001 86380 86390 1
507085 99507085 1001 86380 86390 1
506875 99506875 1001 86380 86390 1
506929 99506929 1001 86380 86390 1
507449 99507449 1001 86380 86390 1
508133 99508133 1001 86380 86390 1
508063 99508063 1001 86380 86390 1
508232 99508232 1001 86380 86390 1
508242 99508242 1001 86380 86390 1
507966 99507966 1001 86380 86390 1
507960 99507960 1001 86380 86390 1
507699 99507699 1001 86380 86390 1
507739 99507739 1001 86380 86390 1
507742 99507742 1001 86380 86390 1
508986 99508986 1001 86380 86390 1
509016 99509016 1001 86380 86390 1
509019 99509019 1001 86380 86390 1
509062 99509062 1001 86380 86390 1
508468 99508468 1001 86380 86390 1
509164 99509164 1001 86380 86390 1
509102 99509102 1001 86380 86390 1
509221 99509221 1001 86380 86390 1
509785 99509785 1001 86380 86390 1
509777 99509777 1001 86380 86390 1
509729 99509729 1001 86380 86390 1
509969 99509969 1001 86380 86390 1
510034 99510034 1001 86380 86390 1
510434 99510434 1001 86380 86390 1
510500 99510500 1001 86380 86390 1
510427 99510427 1001 86380 86390 1
510225 99510225 1001 86380 86390 1
510251 99510251 1001 86380 86390 1
510109 99510109 1001 86380 86390 1
511550 99511550 1001 86380 86390 1
511412 99511412 1001 86380 86390 1
511431 99511431 1001 86380 86390 1
511446 99511446 1001 86380 86390 1
511264 99511264 1001 86380 86390 1
510967 99510967 1001 86380 86390 1
511672 99511672 1001 86380 86390 1
512290 99512290 1001 86380 86390 1
512215 99512215 1001 86380 86390 1
512148 99512148 1001 86380 86390 1
511980 99511980 1001 86380 86390 1
512164 99512164 1001 86380 86390 1
512154 99512154 1001 86380 86390 1
511942 99511942 1001 86380 86390 1
511881 99511881 1001 86380 86390 1
512385 99512385 1001 86380 86390 1
513045 99513045 1001 86380 86390 1
513061 99513061 1001 86380 86390 1
512790 99512790 1001 86380 86390 1
513828 99513828 1001 86380 86390 1
513853 99513853 1001 86380 86390 1
513885 99513885 1001 86380 86390 1
513950 99513950 1001 86380 86390 1
513683 99513683 1001 86380 86390 1
513617 99513617 1001 86380 86390 1
514587 99514587 1001 86380 86390 1
514458 99514458 1001 86380 86390 1
514616 99514616 1001 86380 86390 1
514269 99514269 1001 86380 86390 1
514335 99514335 1001 86380 86390 1
514932 99514932 1001 86380 86390 1
514959 99514959 1001 86380 86390 1
514864 99514864 1001 86380 86390 1
515597 99515597 1001 86380 86390 1
515564 99515564 1001 86380 86390 1
515679 99515679 1001 86380 86390 1
515420 99515420 1001 86380 86390 1
515776 99515776 1001 86380 86390 1
516355 99516355 1001 86380 86390 1
516450 99516450 1001 86380 86390 1
516149 99516149 1001 86380 86390 1
515897 99515897 1001 86380 86390 1
515912 99515912 1001 86380 86390 1
516682 99516682 1001 86380 86390 1
516952 99516952 1001 86380 86390 1
517037 99517037 1001 86380 86390 1
516729 99516729 1001 86380 86390 1
516809 99516809 1001 86380 86390 1
516887 99516887 1001 86380 86390 1
516828 99516828 1001 86380 86390 1
516868 99516868 1001 86380 86390 1
518039 99518039 1001 86380 86390 1
517760 99517760 1001 86380 86390 1
518199 99518199 1001 86380 86390 1
518933 99518933 1001 86380 86390 1
518619 99518619 1001 86380 86390 1
518648 99518648 1001 86380 86390 1
518626 99518626 1001 86380 86390 1
518372 99518372 1001 86380 86390 1
519924 99519924 1001 86380 86390 1
520632 99520632 1001 86380 86390 1
520323 99520323 1001 86380 86390 1
520378 99520378 1001 86380 86390 1
520770 99520770 1001 86380 86390 1
520977 99520977 1001 86380 86390 1
521049 99521049 1001 86380 86390 1
521622 99521622 1001 86380 86390 1
522127 99522127 1001 86380 86390 1
522263 99522263 1001 86380 86390 1
522225 99522225 1001 86380 86390 1
522061 99522061 1001 86380 86390 1
521881 99521881 1001 86380 86390 1
521827 99521827 1001 86380 86390 1
521681 99521681 1001 86380 86390 1
522370 99522370 1001 86380 86390 1
522299 99522299 1001 86380 86390 1
522878 99522878 1001 86380 86390 1
522777 99522777 1001 86380 86390 1
522606 99522606 1001 86380 86390 1
523301 99523301 1001 86380 86390 1
523441 99523441 1001 86380 86390 1
524019 99524019 1001 86380 86390 1
523954 99523954 1001 86380 86390 1
524738 99524738 1001 86380 86390 1
524620 99524620 1001 86380 86390 1
524729 99524729 1001 86380 86390 1
524503 99524503 1001 86380 86390 1
524478 99524478 1001 86380 86390 1
524405 99524405 1001 86380 86390 1
524166 99524166 1001 86380 86390 1
524314 99524314 1001 86380 86390 1
524834 99524834 1001 86380 86390 1
524809 99524809 1001 86380 86390 1
524825 99524825 1001 86380 86390 1
525533 99525533 1001 86380 86390 1
525569 99525569 1001 86380 86390 1
525365 99525365 1001 86380 86390 1
525200 99525200 1001 86380 86390 1
525138 99525138 1001 86380 86390 1
525736 99525736 1001 86380 86390 1
526270 99526270 1001 86380 86390 1
526119 99526119 1001 86380 86390 1
526058 99526058 1001 86380 86390 1
526021 99526021 1001 86380 86390 1
525887 99525887 1001 86380 86390 1
526005 99526005 1001 86380 86390 1
526600 99526600 1001 86380 86390 1
526978 99526978 1001 86380 86390 1
526728 99526728 1001 86380 86390 1
526690 99526690 1001 86380 86390 1
526653 99526653 1001 86380 86390 1
527377 99527377 1001 86380 86390 1
528040 99528040 1001 86380 86390 1
527877 99527877 1001 86380 86390 1
527918 99527918 1001 86380 86390 1
527694 99527694 1001 86380 86390 1
527868 99527868 1001 86380 86390 1
527510 99527510 1001 86380 86390 1
527492 99527492 1001 86380 86390 1
528278 99528278 1001 86380 86390 1
528844 99528844 1001 86380 86390 1
528756 99528756 1001 86380 86390 1
528785 99528785 1001 86380 86390 1
528491 99528491 1001 86380 86390 1
528307 99528307 1001 86380 86390 1
529001 99529001 1001 86380 86390 1
529499 99529499 1001 86380 86390 1
529442 99529442 1001 86380 86390 1
529494 99529494 1001 86380 86390 1
529876 99529876 1001 86380 86390 1
530490 99530490 1001 86380 86390 1
530372 99530372 1001 86380 86390 1
529971 99529971 1001 86380 86390 1
529992 99529992 1001 86380 86390 1
530125 99530125 1001 86380 86390 1
531228 99531228 1001 86380 86390 1
531099 99531099 1001 86380 86390 1
530930 99530930 1001 86380 86390 1
530907 99530907 1001 86380 86390 1
530869 99530869 1001 86380 86390 1
531390 99531390 1001 86380 86390 1
531445 99531445 1001 86380 86390 1
532116 99532116 1001 86380 86390 1
532098 99532098 1001 86380 86390 1
531846 99531846 1001 86380 86390 1
531638 99531638 1001 86380 86390 1
531604 99531604 1001 86380 86390 1
531787 99531787 1001 86380 86390 1
531658 99531658 1001 86380 86390 1
532343 99532343 1001 86380 86390 1
532761 99532761 1001 86380 86390 1
532782 99532782 1001 86380 86390 1
532668 99532668 1001 86380 86390 1
532576 99532576 1001 86380 86390 1
533712 99533712 1001 86380 86390 1
533502 99533502 1001 86380 86390 1
533479 99533479 1001 86380 86390 1
533373 99533373 1001 86380 86390 1
533416 99533416 1001 86380 86390 1
533881 99533881 1001 86380 86390 1
534048 99534048 1001 86380 86390 1
534583 99534583 1001 86380 86390 1
534294 99534294 1001 86380 86390 1
534106 99534106 1001 86380 86390 1
534203 99534203 1001 86380 86390 1
534886 99534886 1001 86380 86390 1
535370 99535370 1001 86380 86390 1
535399 99535399 1001 86380 86390 1
535301 99535301 1001 86380 86390 1
534965 99534965 1001 86380 86390 1
535541 99535541 1001 86380 86390 1
536283 99536283 1001 86380 86390 1
535940 99535940 1001 86380 86390 1
535750 99535750 1001 86380 86390 1
537050 99537050 1001 86380 86390 1
536948 99536948 1001 86380 86390 1
536772 99536772 1001 86380 86390 1
536624 99536624 1001 86380 86390 1
536680 99536680 1001 86380 86390 1
537212 99537212 1001 86380 86390 1
537347 99537347 1001 86380 86390 1
537874 99537874 1001 86380 86390 1
537802 99537802 1001 86380 86390 1
537816 99537816 1001 86380 86390 1
537670 99537670 1001 86380 86390 1
537700 99537700 1001 86380 86390 1
537584 99537584 1001 86380 86390 1
537704 99537704 1001 86380 86390 1
537388 99537388 1001 86380 86390 1
538190 99538190 1001 86380 86390 1
538130 99538130 1001 86380 86390 1
538765 99538765 1001 86380 86390 1
538695 99538695 1001 86380 86390 1
538444 99538444 1001 86380 86390 1
538362 99538362 1001 86380 86390 1
538195 99538195 1001 86380 86390 1
538922 99538922 1001 86380 86390 1
538925 99538925 1001 86380 86390 1
539477 99539477 1001 86380 86390 1
539481 99539481 1001 86380 86390 1
539562 99539562 1001 86380 86390 1
539411 99539411 1001 86380 86390 1
539354 99539354 1001 86380 86390 1
539113 99539113 1001 86380 86390 1
539154 99539154 1001 86380 86390 1
539659 99539659 1001 86380 86390 1
540332 99540332 1001 86380 86390 1
540462 99540462 1001 86380 86390 1
540257 99540257 1001 86380 86390 1
539871 99539871 1001 86380 86390 1
540645 99540645 1001 86380 86390 1
540563 99540563 1001 86380 86390 1
541226 99541226 1001 86380 86390 1
540916 99540916 1001 86380 86390 1
540713 99540713 1001 86380 86390 1
541490 99541490 1001 86380 86390 1
541760 99541760 1001 86380 86390 1
541774 99541774 1001 86380 86390 1
541883 99541883 1001 86380 86390 1
542207 99542207 1001 86380 86390 1
542236 99542236 1001 86380 86390 1
542794 99542794 1001 86380 86390 1
542846 99542846 1001 86380 86390 1
542823 99542823 1001 86380 86390 1
542940 99542940 1001 86380 86390 1
542613 99542613 1001 86380 86390 1
542511 99542511 1001 86380 86390 1
543027 99543027 1001 86380 86390 1
543597 99543597 1001 86380 86390 1
543638 99543638 1001 86380 86390 1
543522 99543522 1001 86380 86390 1
543209 99543209 1001 86380 86390 1
543829 99543829 1001 86380 86390 1
543934 99543934 1001 86380 86390 1
544552 99544552 1001 86380 86390 1
544373 99544373 1001 86380 86390 1
544298 99544298 1001 86380 86390 1
544079 99544079 1001 86380 86390 1
544688 99544688 1001 86380 86390 1
544613 99544613 1001 86380 86390 1
400043 99400043 1001 86380 86390 1
400078 99400078 1001 86380 86390 1
400607 99400607 1001 86380 86390 1
401237 99401237 1001 86380 86390 1
401433 99401433 1001 86380 86390 1
401702 99401702 1001 86380 86390 1
401900 99401900 1001 86380 86390 1
402523 99402523 1001 86380 86390 1
402990 99402990 1001 86380 86390 1
402972 99402972 1001 86380 86390 1
403195 99403195 1001 86380 86390 1
403149 99403149 1001 86380 86390 1
403636 99403636 1001 86380 86390 1
403811 99403811 1001 86380 86390 1
403832 99403832 1001 86380 86390 1
404239 99404239 1001 86380 86390 1
405196 99405196 1001 86380 86390 1
405643 99405643 1001 86380 86390 1
406061 99406061 1001 86380 86390 1
406145 99406145 1001 86380 86390 1
406110 99406110 1001 86380 86390 1
406255 99406255 1001 86380 86390 1
406368 99406368 1001 86380 86390 1
406334 99406334 1001 86380 86390 1
406449 99406449 1001 86380 86390 1
406620 99406620 1001 86380 86390 1
406672 99406672 1001 86380 86390 1
406676 99406676 1001 86380 86390 1
406776 99406776 1001 86380 86390 1
406807 99406807 1001 86380 86390 1
407079 99407079 1001 86380 86390 1
407190 99407190 1001 86380 86390 1
407147 99407147 1001 86380 86390 1
407257 99407257 1001 86380 86390 1
407831 99407831 1001 86380 86390 1
407776 99407776 1001 86380 86390 1
407991 99407991 1001 86380 86390 1
408944 99408944 1001 86380 86390 1
409156 99409156 1001 86380 86390 1
409198 99409198 1001 86380 86390 1
410099 99410099 1001 86380 86390 1
410461 99410461 1001 86380 86390 1
411004 99411004 1001 86380 86390 1
411208 99411208 1001 86380 86390 1
411510 99411510 1001 86380 86390 1
411979 99411979 1001 86380 86390 1
411991 99411991 1001 86380 86390 1
412429 99412429 1001 86380 86390 1
413366 99413366 1001 86380 86390 1
412901 99412901 1001 86380 86390 1
413842 99413842 1001 86380 86390 1
415086 99415086 1001 86380 86390 1
414986 99414986 1001 86380 86390 1
414766 99414766 1001 86380 86390 1
414665 99414665 1001 86380 86390 1
415583 99415583 1001 86380 86390 1
416327 99416327 1001 86380 86390 1
415749 99415749 1001 86380 86390 1
415888 99415888 1001 86380 86390 1
417193 99417193 1001 86380 86390 1
417135 99417135 1001 86380 86390 1
417538 99417538 1001 86380 86390 1
417571 99417571 1001 86380 86390 1
418594 99418594 1001 86380 86390 1
418595 99418595 1001 86380 86390 1
418509 99418509 1001 86380 86390 1
418468 99418468 1001 86380 86390 1
417935 99417935 1001 86380 86390 1
419001 99419001 1001 86380 86390 1
420400 99420400 1001 86380 86390 1
420134 99420134 1001 86380 86390 1
420428 99420428 1001 86380 86390 1
419973 99419973 1001 86380 86390 1
419474 99419474 1001 86380 86390 1
420549 99420549 1001 86380 86390 1
420570 99420570 1001 86380 86390 1
421923 99421923 1001 86380 86390 1
421949 99421949 1001 86380 86390 1
421810 99421810 1001 86380 86390 1
421737 99421737 1001 86380 86390 1
421593 99421593 1001 86380 86390 1
421106 99421106 1001 86380 86390 1
421109 99421109 1001 86380 86390 1
